item,item_label,shared_class,shared_label
Q18063996,TRI-GAT1-2,Q201448,transfer RNA
Q18063997,TRK-TTT12-1,Q201448,transfer RNA
Q18063998,TRC-GCA2-2,Q201448,transfer RNA
Q18063999,TRK-TTT4-1,Q201448,transfer RNA
Q18064000,TRE-TTC13-1,Q201448,transfer RNA
Q18064001,NMTRS-TGA1-1,Q201448,transfer RNA
Q18064002,TRQ-CTG4-1,Q201448,transfer RNA
Q18064003,TRY-GTA9-1,Q201448,transfer RNA
Q18064004,NMTRQ-TTG14-1,Q201448,transfer RNA
Q18064005,TRN-GTT8-1,Q201448,transfer RNA
Q18064006,TRA-AGC13-2,Q201448,transfer RNA
Q18064007,TRD-GTC5-1,Q201448,transfer RNA
Q18064009,TRK-CTT4-1,Q201448,transfer RNA
Q18064010,TRE-TTC2-2,Q201448,transfer RNA
Q18064011,TRG-TCC2-1,Q201448,transfer RNA
Q18064012,TRH-GTG1-9,Q201448,transfer RNA
Q18064013,TRA-TGC5-1,Q201448,transfer RNA
Q18064014,TRL-TAA4-1,Q201448,transfer RNA
Q18064015,TRE-TTC8-1,Q201448,transfer RNA
Q18064016,TRN-GTT16-1,Q201448,transfer RNA
Q18064017,TRS-AGA4-1,Q201448,transfer RNA
Q18064018,TRI-AAT2-1,Q201448,transfer RNA
Q18064019,TRP-AGG2-4,Q201448,transfer RNA
Q18064020,TRV-CAC12-1,Q201448,transfer RNA
Q18064021,TRQ-TTG3-3,Q201448,transfer RNA
Q18064022,TRC-GCA12-1,Q201448,transfer RNA
Q18064023,TRS-AGA2-2,Q201448,transfer RNA
Q18064024,TRR-CCT1-1,Q201448,transfer RNA
Q18064025,TRN-GTT16-3,Q201448,transfer RNA
Q18064026,TRSUP-TTA1-1,Q201448,transfer RNA
Q18064027,TRG-GCC6-1,Q201448,transfer RNA
Q18064028,TRA-TGC6-1,Q201448,transfer RNA
Q18064029,TRN-GTT2-3,Q201448,transfer RNA
Q18064030,TRR-CCG1-2,Q201448,transfer RNA
Q18064031,TRM-CAT7-1,Q201448,transfer RNA
Q18064032,TRT-CGT2-1,Q201448,transfer RNA
Q19607723,self-determination,Q194112,value
Q115803131,Via Flacca,Q194029,Roman road
Q3510398,secessionism in Western Australia,Q194236,separatism
Q4380025,Armlock,Q195986,joint lock
Q18064033,TRD-GTC7-1,Q201448,transfer RNA
Q18064034,TRP-TGG3-2,Q201448,transfer RNA
Q18064035,TRL-CAG2-2,Q201448,transfer RNA
Q18064036,TRC-GCA4-1,Q201448,transfer RNA
Q18064037,TRE-CTC1-2,Q201448,transfer RNA
Q18064038,TRA-AGC7-1,Q201448,transfer RNA
Q18064039,TRA-AGC2-1,Q201448,transfer RNA
Q18064040,TRX-CAT1-3,Q201448,transfer RNA
Q18064041,TRI-AAT8-1,Q201448,transfer RNA
Q18064042,TRN-GTT17-1,Q201448,transfer RNA
Q18064043,TRC-GCA3-1,Q201448,transfer RNA
Q18064044,TRK-TTT8-1,Q201448,transfer RNA
Q18064045,TRR-ACG2-3,Q201448,transfer RNA
Q18064046,TRM-CAT4-1,Q201448,transfer RNA
Q18064047,TRV-CAC7-1,Q201448,transfer RNA
Q18064048,TRY-GTA5-2,Q201448,transfer RNA
Q18064049,TRR-ACG2-1,Q201448,transfer RNA
Q18064050,TRK-TTT11-1,Q201448,transfer RNA
Q18064051,TRC-GCA2-3,Q201448,transfer RNA
Q18064052,TRA-AGC12-3,Q201448,transfer RNA
Q18064053,TRK-CTT1-1,Q201448,transfer RNA
Q18064054,TRN-GTT11-1,Q201448,transfer RNA
Q18064055,TRR-TCT3-1,Q201448,transfer RNA
Q18064057,TRM-CAT3-2,Q201448,transfer RNA
Q18064058,TRW-CCA3-3,Q201448,transfer RNA
Q18064059,TRE-CTC17-1,Q201448,transfer RNA
Q18064060,TRA-TGC2-1,Q201448,transfer RNA
Q18064061,TRR-TCT3-2,Q201448,transfer RNA
Q18064062,TRA-AGC20-1,Q201448,transfer RNA
Q18064063,TRA-AGC15-1,Q201448,transfer RNA
Q18064064,TRL-AAG4-1,Q201448,transfer RNA
Q18064065,TRK-CTT3-1,Q201448,transfer RNA
Q18064066,TRD-GTC2-5,Q201448,transfer RNA
Q18064067,TRQ-CTG1-3,Q201448,transfer RNA
Q18064068,TRK-TTT3-1,Q201448,transfer RNA
Q18064069,TRW-CCA1-1,Q201448,transfer RNA
Q18064070,TRP-CGG1-3,Q201448,transfer RNA
Q18064071,TRK-TTT1-1,Q201448,transfer RNA
Q18064072,TRN-GTT1-1,Q201448,transfer RNA
Q18064073,TRN-GTT3-2,Q201448,transfer RNA
Q18064074,TRA-AGC10-1,Q201448,transfer RNA
Q18064075,TRE-TTC11-1,Q201448,transfer RNA
Q18064076,TRL-CAG2-1,Q201448,transfer RNA
Q18064077,TRI-TAT2-3,Q201448,transfer RNA
Q18064078,TRI-GAT1-1,Q201448,transfer RNA
Q18064079,TRR-TCT1-1,Q201448,transfer RNA
Q18064080,TRD-GTC2-4,Q201448,transfer RNA
Q18064081,TRM-CAT2-1,Q201448,transfer RNA
Q18064082,TRP-AGG2-7,Q201448,transfer RNA
Q18064083,TRF-GAA1-1,Q201448,transfer RNA
Q18064084,TRQ-TTG2-1,Q201448,transfer RNA
Q18064085,TRL-CAG1-5,Q201448,transfer RNA
Q18064086,TRQ-CTG3-2,Q201448,transfer RNA
Q18064087,TRG-TCC2-3,Q201448,transfer RNA
Q18064088,TRV-CAC8-1,Q201448,transfer RNA
Q18064089,TRT-AGT6-1,Q201448,transfer RNA
Q18064090,TRC-GCA1-1,Q201448,transfer RNA
Q18064091,TRF-GAA5-1,Q201448,transfer RNA
Q18064092,TRC-GCA16-1,Q201448,transfer RNA
Q18064093,TRI-AAT7-1,Q201448,transfer RNA
Q18064094,TRA-TGC1-1,Q201448,transfer RNA
Q18064095,TRD-GTC6-1,Q201448,transfer RNA
Q18064096,TRL-TAG2-1,Q201448,transfer RNA
Q18064097,TRS-CGA4-1,Q201448,transfer RNA
Q18064098,TRI-AAT5-1,Q201448,transfer RNA
Q18064099,TRQ-CTG8-2,Q201448,transfer RNA
Q18064100,TRC-GCA5-1,Q201448,transfer RNA
Q18064101,TRA-AGC9-1,Q201448,transfer RNA
Q18064102,TRS-GCT1-1,Q201448,transfer RNA
Q18064103,TRD-GTC2-6,Q201448,transfer RNA
Q18064104,TRS-GCT5-1,Q201448,transfer RNA
Q18064105,TRG-GCC1-4,Q201448,transfer RNA
Q18064106,TRV-AAC4-1,Q201448,transfer RNA
Q18064107,TRY-GTA3-1,Q201448,transfer RNA
Q18064108,TRG-GCC2-5,Q201448,transfer RNA
Q18064109,TRL-TAA2-1,Q201448,transfer RNA
Q18064110,TRN-GTT16-4,Q201448,transfer RNA
Q18064112,TRR-TCT4-1,Q201448,transfer RNA
Q18064116,TRR-ACG2-2,Q201448,transfer RNA
Q18064121,TRR-CCT3-1,Q201448,transfer RNA
Q18064124,TRL-AAG3-1,Q201448,transfer RNA
Q18064128,TRF-GAA3-1,Q201448,transfer RNA
Q18064133,TRW-CCA4-1,Q201448,transfer RNA
Q18064137,TRP-CGG2-1,Q201448,transfer RNA
Q18064141,TRR-CCG1-3,Q201448,transfer RNA
Q18064146,TRH-GTG1-4,Q201448,transfer RNA
Q18064149,TRL-TAA5-1,Q201448,transfer RNA
Q18064152,TRN-GTT2-5,Q201448,transfer RNA
Q18064156,TRC-GCA19-1,Q201448,transfer RNA
Q18064160,TRV-AAC6-1,Q201448,transfer RNA
Q18064164,TRC-GCA6-1,Q201448,transfer RNA
Q18064169,TRK-CTT9-1,Q201448,transfer RNA
Q18064172,TRR-CCT2-1,Q201448,transfer RNA
Q18064176,TRK-TTT6-1,Q201448,transfer RNA
Q18064181,TRN-GTT13-1,Q201448,transfer RNA
Q18064185,TRS-AGA2-6,Q201448,transfer RNA
Q18064189,TRQ-TTG3-2,Q201448,transfer RNA
Q18064192,TRX-CAT3-1,Q201448,transfer RNA
Q18064194,TRT-AGT1-1,Q201448,transfer RNA
Q18064199,TRG-TCC2-4,Q201448,transfer RNA
Q18064203,TRQ-CTG1-2,Q201448,transfer RNA
Q18064207,TRW-CCA5-1,Q201448,transfer RNA
Q18064212,TRV-TAC1-2,Q201448,transfer RNA
Q18064216,TRA-AGC21-1,Q201448,transfer RNA
Q18064220,TRN-GTT9-2,Q201448,transfer RNA
Q18064225,TRC-GCA23-1,Q201448,transfer RNA
Q18064229,TRN-GTT2-6,Q201448,transfer RNA
Q18064233,TRV-CAC9-1,Q201448,transfer RNA
Q18064234,TRC-GCA2-1,Q201448,transfer RNA
Q18064235,TRK-CTT2-1,Q201448,transfer RNA
Q18064236,TRL-CAA4-1,Q201448,transfer RNA
Q18064237,TRD-GTC3-1,Q201448,transfer RNA
Q18064238,TRM-CAT1-1,Q201448,transfer RNA
Q18064239,TRL-AAG2-2,Q201448,transfer RNA
Q18064240,TRW-CCA2-1,Q201448,transfer RNA
Q18064241,TRL-CAG3-1,Q201448,transfer RNA
Q18064242,TRS-CGA3-1,Q201448,transfer RNA
Q18064243,TRG-TCC3-1,Q201448,transfer RNA
Q18064244,TRD-GTC1-1,Q201448,transfer RNA
Q18064245,TRG-GCC2-2,Q201448,transfer RNA
Q18064246,TRK-CTT5-1,Q201448,transfer RNA
Q18064247,TRE-TTC16-1,Q201448,transfer RNA
Q18064248,TRP-CGG1-1,Q201448,transfer RNA
Q18064249,TRA-AGC18-2,Q201448,transfer RNA
Q18064250,TRI-AAT3-1,Q201448,transfer RNA
Q18064251,TRQ-CTG6-1,Q201448,transfer RNA
Q18064252,NMTRQ-TTG3-1,Q201448,transfer RNA
Q18064253,TRM-CAT3-1,Q201448,transfer RNA
Q18064254,TRQ-CTG8-1,Q201448,transfer RNA
Q18064255,TRS-GCT6-1,Q201448,transfer RNA
Q18064256,TRY-GTA6-1,Q201448,transfer RNA
Q18064257,TRG-GCC5-1,Q201448,transfer RNA
Q18064258,TRP-CGG1-2,Q201448,transfer RNA
Q18064259,TRT-AGT1-2,Q201448,transfer RNA
Q18064260,TRP-AGG2-2,Q201448,transfer RNA
Q18064261,TRP-TGG2-1,Q201448,transfer RNA
Q18064262,TRS-GCT4-1,Q201448,transfer RNA
Q18064263,TRM-CAT6-1,Q201448,transfer RNA
Q18064264,TRV-CAC1-6,Q201448,transfer RNA
Q18064265,TRV-CAC5-1,Q201448,transfer RNA
Q18064266,TRS-GCT4-2,Q201448,transfer RNA
Q18064267,TRG-GCC1-3,Q201448,transfer RNA
Q18064268,TRG-CCC2-1,Q201448,transfer RNA
Q18064269,TRA-TGC3-2,Q201448,transfer RNA
Q18064270,TRN-GTT15-1,Q201448,transfer RNA
Q18064271,TRK-TTT3-3,Q201448,transfer RNA
Q18064272,TRD-GTC2-2,Q201448,transfer RNA
Q18064273,TRE-CTC5-1,Q201448,transfer RNA
Q18064274,TRL-CAA1-2,Q201448,transfer RNA
Q18064275,TRK-TTT5-1,Q201448,transfer RNA
Q18064276,TRD-GTC2-8,Q201448,transfer RNA
Q18064277,TRL-TAA3-1,Q201448,transfer RNA
Q18064278,TRH-GTG3-1,Q201448,transfer RNA
Q18064279,TRR-ACG1-3,Q201448,transfer RNA
Q18064280,TRK-CTT8-1,Q201448,transfer RNA
Q18064281,TRT-CGT4-1,Q201448,transfer RNA
Q18064282,TRA-AGC19-1,Q201448,transfer RNA
Q18064283,TRS-AGA2-4,Q201448,transfer RNA
Q18064284,TRS-AGA2-5,Q201448,transfer RNA
Q18064285,TRI-AAT1-1,Q201448,transfer RNA
Q18064286,TRC-GCA9-1,Q201448,transfer RNA
Q18064287,TRF-GAA1-5,Q201448,transfer RNA
Q18064288,TRG-GCC1-2,Q201448,transfer RNA
Q18064289,TRY-ATA1-1,Q201448,transfer RNA
Q18064290,TRF-GAA1-2,Q201448,transfer RNA
Q18064291,TRX-CAT1-8,Q201448,transfer RNA
Q18064292,TRA-TGC8-1,Q201448,transfer RNA
Q18064293,TRN-GTT11-2,Q201448,transfer RNA
Q18064294,TRT-CGT6-1,Q201448,transfer RNA
Q18064295,TRE-CTC1-4,Q201448,transfer RNA
Q18064296,TRG-TCC2-2,Q201448,transfer RNA
Q18064297,TRQ-CTG4-2,Q201448,transfer RNA
Q18064298,TRF-GAA6-1,Q201448,transfer RNA
Q18064299,TRT-TGT5-1,Q201448,transfer RNA
Q18064300,TRR-TCG1-1,Q201448,transfer RNA
Q18064301,TRI-TAT2-1,Q201448,transfer RNA
Q18064302,TRN-GTT20-1,Q201448,transfer RNA
Q18064303,TRC-GCA15-1,Q201448,transfer RNA
Q18064304,TRQ-CTG2-1,Q201448,transfer RNA
Q18064305,TRE-CTC1-7,Q201448,transfer RNA
Q18064306,TRR-CCT5-1,Q201448,transfer RNA
Q18064307,TRN-GTT16-2,Q201448,transfer RNA
Q18064308,TRY-GTA1-1,Q201448,transfer RNA
Q18064309,TRL-AAG1-2,Q201448,transfer RNA
Q18064310,TRG-GCC4-1,Q201448,transfer RNA
Q18064311,TRI-AAT5-4,Q201448,transfer RNA
Q18064312,TRP-AGG2-3,Q201448,transfer RNA
Q18064313,TRG-CCC3-1,Q201448,transfer RNA
Q18064314,TRY-GTA10-1,Q201448,transfer RNA
Q18064315,TRS-TGA1-1,Q201448,transfer RNA
Q18064316,TRA-TGC3-1,Q201448,transfer RNA
Q18064317,TRP-TGG3-5,Q201448,transfer RNA
Q18064318,TRK-CTT2-5,Q201448,transfer RNA
Q18064319,TRV-TAC2-1,Q201448,transfer RNA
Q18064320,TRG-GCC1-5,Q201448,transfer RNA
Q18064321,TRS-GCT3-1,Q201448,transfer RNA
Q18064322,TRP-TGG1-1,Q201448,transfer RNA
Q18064324,TRQ-CTG1-1,Q201448,transfer RNA
Q18064325,TRL-CAG1-7,Q201448,transfer RNA
Q18064326,TRC-GCA17-1,Q201448,transfer RNA
Q18064327,TRD-GTC2-3,Q201448,transfer RNA
Q18064328,TRL-AAG2-4,Q201448,transfer RNA
Q18064329,TRD-GTC2-7,Q201448,transfer RNA
Q18064330,TRF-GAA4-1,Q201448,transfer RNA
Q18064331,TRK-TTT2-1,Q201448,transfer RNA
Q18064332,TRA-AGC2-2,Q201448,transfer RNA
Q18064333,TRP-AGG2-8,Q201448,transfer RNA
Q18064334,TRX-CAT1-6,Q201448,transfer RNA
Q18064335,TRG-CCC1-2,Q201448,transfer RNA
Q18064336,TRA-AGC3-1,Q201448,transfer RNA
Q18064337,TRT-CGT5-1,Q201448,transfer RNA
Q18064338,TRL-CAA2-1,Q201448,transfer RNA
Q18064339,TRQ-CTG17-1,Q201448,transfer RNA
Q18064340,TRM-CAT5-1,Q201448,transfer RNA
Q18064342,TRC-GCA10-1,Q201448,transfer RNA
Q18064343,TRF-GAA1-6,Q201448,transfer RNA
Q18064344,TRH-GTG1-3,Q201448,transfer RNA
Q18064345,TRA-CGC1-1,Q201448,transfer RNA
Q18064346,TRW-CCA6-1,Q201448,transfer RNA
Q18064347,TRI-AAT5-3,Q201448,transfer RNA
Q18064348,TRK-CTT11-1,Q201448,transfer RNA
Q18064349,TRA-AGC16-1,Q201448,transfer RNA
Q18064350,TRL-TAA1-1,Q201448,transfer RNA
Q18064351,TRG-GCC2-3,Q201448,transfer RNA
Q18064352,TRX-CAT1-7,Q201448,transfer RNA
Q18064353,TRL-CAG1-3,Q201448,transfer RNA
Q18064354,TRQ-CTG1-4,Q201448,transfer RNA
Q18064355,TRV-AAC1-1,Q201448,transfer RNA
Q18064356,TRT-AGT2-1,Q201448,transfer RNA
Q18064357,TRN-ATT1-1,Q201448,transfer RNA
Q18064358,TRQ-TTG3-1,Q201448,transfer RNA
Q18064359,TRQ-CTG10-1,Q201448,transfer RNA
Q18064360,TRN-GTT3-1,Q201448,transfer RNA
Q18064361,TRI-TAT1-1,Q201448,transfer RNA
Q18064362,NMTRL-TAA1-1,Q201448,transfer RNA
Q18064363,TRV-CAC4-1,Q201448,transfer RNA
Q18064364,TRA-AGC12-2,Q201448,transfer RNA
Q18064365,TRL-AAG2-1,Q201448,transfer RNA
Q18064366,TRQ-CTG5-1,Q201448,transfer RNA
Q18064367,TRSUP-TTA2-1,Q201448,transfer RNA
Q18064368,TRS-GCT4-3,Q201448,transfer RNA
Q18064369,TRK-TTT7-1,Q201448,transfer RNA
Q18064370,TRE-TTC1-2,Q201448,transfer RNA
Q18064371,TRH-GTG1-2,Q201448,transfer RNA
Q18064372,TRP-TGG3-3,Q201448,transfer RNA
Q18064373,TRI-AAT5-2,Q201448,transfer RNA
Q18064374,TRY-GTA8-1,Q201448,transfer RNA
Q18064375,TRN-GTT16-5,Q201448,transfer RNA
Q18064376,TRA-TGC4-1,Q201448,transfer RNA
Q18064377,TRT-AGT2-2,Q201448,transfer RNA
Q18064378,TRA-AGC18-1,Q201448,transfer RNA
Q18064379,TRV-TAC3-1,Q201448,transfer RNA
Q18064380,TRD-GTC2-9,Q201448,transfer RNA
Q18064381,TRT-TGT1-1,Q201448,transfer RNA
Q18064382,TRX-CAT1-5,Q201448,transfer RNA
Q18064383,TRA-AGC1-1,Q201448,transfer RNA
Q18064384,TRD-GTC2-10,Q201448,transfer RNA
Q18064385,TRI-TAT3-1,Q201448,transfer RNA
Q18064386,TRL-AAG8-1,Q201448,transfer RNA
Q18064387,TRH-GTG2-1,Q201448,transfer RNA
Q18064388,TRQ-CTG18-1,Q201448,transfer RNA
Q18064389,TRS-AGA1-1,Q201448,transfer RNA
Q18064390,TRA-AGC17-1,Q201448,transfer RNA
Q18064391,TRM-CAT4-2,Q201448,transfer RNA
Q18064392,TRC-GCA20-1,Q201448,transfer RNA
Q18064393,TRN-GTT12-1,Q201448,transfer RNA
Q18064394,TRC-GCA13-1,Q201448,transfer RNA
Q18064395,TRA-AGC14-1,Q201448,transfer RNA
Q18064396,TRC-GCA8-1,Q201448,transfer RNA
Q18064398,TRT-CGT3-1,Q201448,transfer RNA
Q18064399,TRP-AGG3-1,Q201448,transfer RNA
Q18064400,TRL-AAG1-1,Q201448,transfer RNA
Q18064401,TRV-CAC2-1,Q201448,transfer RNA
Q18064402,TRL-CAG1-4,Q201448,transfer RNA
Q18064403,TRR-CCG1-1,Q201448,transfer RNA
Q18064404,TRG-GCC1-1,Q201448,transfer RNA
Q18064405,TRK-CTT10-1,Q201448,transfer RNA
Q18064406,TRV-CAC6-1,Q201448,transfer RNA
Q18064407,TRA-AGC12-1,Q201448,transfer RNA
Q18064408,TRL-CAA5-1,Q201448,transfer RNA
Q18064409,TRR-TCG3-1,Q201448,transfer RNA
Q18064410,TRI-AAT6-1,Q201448,transfer RNA
Q18064411,TRV-CAC1-1,Q201448,transfer RNA
Q18064412,TRT-AGT4-1,Q201448,transfer RNA
Q18064413,TRC-GCA21-1,Q201448,transfer RNA
Q18064415,TRC-GCA9-3,Q201448,transfer RNA
Q18064416,NMTRL-TAA4-1,Q201448,transfer RNA
Q18064417,TRT-TGT2-1,Q201448,transfer RNA
Q18064419,TRG-GCC2-1,Q201448,transfer RNA
Q18064420,TRN-GTT19-1,Q201448,transfer RNA
Q18064421,TRS-AGA2-1,Q201448,transfer RNA
Q18064422,TRD-GTC2-11,Q201448,transfer RNA
Q18064423,TRE-CTC1-1,Q201448,transfer RNA
Q18064424,TRE-CTC1-3,Q201448,transfer RNA
Q18064425,TRQ-CTG3-1,Q201448,transfer RNA
Q18064426,TRI-AAT5-5,Q201448,transfer RNA
Q18064427,TRP-TGG3-4,Q201448,transfer RNA
Q18064428,TRQ-CTG12-1,Q201448,transfer RNA
Q18064429,TRK-TTT9-1,Q201448,transfer RNA
Q18064430,TRM-CAT4-3,Q201448,transfer RNA
Q12336771,splint basket,Q201097,basket
Q121546326,inferred by common mappings on source and on Wikidata,Q201413,heuristic
Q133818885,inferred from Commons category,Q201413,heuristic
Q4043485,TRNL1,Q201448,transfer RNA
Q18029514,TRNC,Q201448,transfer RNA
Q18029590,TRNA,Q201448,transfer RNA
Q18029593,TRND,Q201448,transfer RNA
Q18029596,TRNE,Q201448,transfer RNA
Q18029598,TRNF,Q201448,transfer RNA
Q18029601,TRNG,Q201448,transfer RNA
Q18029604,TRNH,Q201448,transfer RNA
Q18029606,TRNI,Q201448,transfer RNA
Q18029609,TRNK,Q201448,transfer RNA
Q18029614,TRNL2,Q201448,transfer RNA
Q18029618,TRNM,Q201448,transfer RNA
Q18029621,TRNN,Q201448,transfer RNA
Q18029623,TRNP,Q201448,transfer RNA
Q18029626,TRNQ,Q201448,transfer RNA
Q18029629,TRNR,Q201448,transfer RNA
Q18029631,TRNS1,Q201448,transfer RNA
Q18029634,TRNS2,Q201448,transfer RNA
Q18029637,TRNT,Q201448,transfer RNA
Q18029639,TRNV,Q201448,transfer RNA
Q18029643,TRNW,Q201448,transfer RNA
Q18029647,TRNY,Q201448,transfer RNA
Q18032066,TRA-TGC7-1,Q201448,transfer RNA
Q18032092,TRC-GCA24-1,Q201448,transfer RNA
Q18032099,TRD-GTC9-1,Q201448,transfer RNA
Q18032100,TRE-TTC3-1,Q201448,transfer RNA
Q18032101,TRG-GCC2-6,Q201448,transfer RNA
Q18032102,TRG-TCC1-1,Q201448,transfer RNA
Q18032103,TRG-GCC3-1,Q201448,transfer RNA
Q18032105,TRI-AAT9-1,Q201448,transfer RNA
Q18032114,TRK-TTT3-5,Q201448,transfer RNA
Q18032123,TRL-AAG2-3,Q201448,transfer RNA
Q18032132,TRL-TAG1-1,Q201448,transfer RNA
Q18032141,TRX-CAT1-2,Q201448,transfer RNA
Q18032159,TRX-CAT2-1,Q201448,transfer RNA
Q18032168,TRN-GTT2-1,Q201448,transfer RNA
Q18032177,TRP-AGG2-5,Q201448,transfer RNA
Q18032179,TRP-AGG2-6,Q201448,transfer RNA
Q18032180,TRP-TGG3-1,Q201448,transfer RNA
Q18032182,TRQ-CTG1-5,Q201448,transfer RNA
Q18032184,TRQ-TTG1-1,Q201448,transfer RNA
Q18032185,TRR-TCT2-1,Q201448,transfer RNA
Q18032186,TRR-ACG1-2,Q201448,transfer RNA
Q18032187,TRR-TCG4-1,Q201448,transfer RNA
Q18032188,TRR-CCG2-1,Q201448,transfer RNA
Q18032189,TRU-TCA1-1,Q201448,transfer RNA
Q18032190,TRU-TCA2-1,Q201448,transfer RNA
Q18032191,TRT-TGT6-1,Q201448,transfer RNA
Q18032192,TRT-TGT3-1,Q201448,transfer RNA
Q18032193,TRT-AGT7-1,Q201448,transfer RNA
Q18032194,TRV-AAC1-4,Q201448,transfer RNA
Q18032195,TRV-CAC1-2,Q201448,transfer RNA
Q18032196,TRV-AAC1-3,Q201448,transfer RNA
Q18032197,TRW-CCA7-1,Q201448,transfer RNA
Q18037181,TRS-AGA2-3,Q201448,transfer RNA
Q18037255,TRS-TGA4-1,Q201448,transfer RNA
Q18045715,TRG-CCC2-2,Q201448,transfer RNA
Q18048765,TRS-TGA2-1,Q201448,transfer RNA
Q18062044,TRS-AGA3-1,Q201448,transfer RNA
Q18062048,TRK-CTT2-3,Q201448,transfer RNA
Q18062056,TRN-GTT4-1,Q201448,transfer RNA
Q18062057,TRN-GTT6-1,Q201448,transfer RNA
Q18062060,TRV-AAC1-5,Q201448,transfer RNA
Q18062061,TRV-AAC3-1,Q201448,transfer RNA
Q18062062,TRV-CAC1-3,Q201448,transfer RNA
Q18062068,TRY-GTA7-1,Q201448,transfer RNA
Q18062069,TRY-GTA5-4,Q201448,transfer RNA
Q18062070,TRA-AGC11-1,Q201448,transfer RNA
Q18062071,TRA-AGC8-1,Q201448,transfer RNA
Q18062072,TRF-GAA2-1,Q201448,transfer RNA
Q18062073,TRF-GAA1-4,Q201448,transfer RNA
Q18062075,TRH-GTG1-6,Q201448,transfer RNA
Q18062391,TRK-TTT3-4,Q201448,transfer RNA
Q7339727,academic certificate,Q196756,certificate
Q31197640,teaching certificate,Q196756,certificate
Q684592,Vajrasana Pagoda,Q199451,pagoda
Q2363597,Nerchinsk katorga,Q199895,katorga
Q18064433,TRL-CAG1-1,Q201448,transfer RNA
Q18064434,TRA-CGC5-1,Q201448,transfer RNA
Q18064435,TRR-ACG1-1,Q201448,transfer RNA
Q18064436,NMTRQ-TTG5-1,Q201448,transfer RNA
Q18064437,TRA-AGC8-2,Q201448,transfer RNA
Q18064438,TRK-CTT2-2,Q201448,transfer RNA
Q18064439,TRA-CGC2-1,Q201448,transfer RNA
Q18064441,TRI-AAT7-2,Q201448,transfer RNA
Q18064442,TRN-GTT2-2,Q201448,transfer RNA
Q18064443,TRV-AAC7-1,Q201448,transfer RNA
Q18064444,TRY-GTA4-1,Q201448,transfer RNA
Q18064445,TRR-CCT4-1,Q201448,transfer RNA
Q18064446,TRE-TTC4-2,Q201448,transfer RNA
Q18064447,TRV-TAC4-1,Q201448,transfer RNA
Q18064448,TRE-CTC2-1,Q201448,transfer RNA
Q18064449,TRR-TCG2-1,Q201448,transfer RNA
Q18064450,TRA-AGC13-1,Q201448,transfer RNA
Q18064451,TRD-GTC2-1,Q201448,transfer RNA
Q18064452,TRC-GCA9-2,Q201448,transfer RNA
Q18064453,TRC-GCA2-4,Q201448,transfer RNA
Q18064454,TRF-GAA1-3,Q201448,transfer RNA
Q18064455,TRV-CAC3-1,Q201448,transfer RNA
Q18064456,TRE-CTC6-1,Q201448,transfer RNA
Q18064457,TRE-TTC1-1,Q201448,transfer RNA
Q18064458,TRT-TGT4-1,Q201448,transfer RNA
Q18064459,TRS-AGA6-1,Q201448,transfer RNA
Q18064460,TRF-GAA7-1,Q201448,transfer RNA
Q18064461,TRQ-TTG4-1,Q201448,transfer RNA
Q18064462,TRA-AGC9-2,Q201448,transfer RNA
Q18064463,TRY-GTA5-3,Q201448,transfer RNA
Q18064464,TRK-TTT3-2,Q201448,transfer RNA
Q18064465,TRSUP-CTA1-1,Q201448,transfer RNA
Q18064466,TRI-GAT1-3,Q201448,transfer RNA
Q18064467,TRR-ACG2-4,Q201448,transfer RNA
Q18064468,TRL-AAG6-1,Q201448,transfer RNA
Q18064469,TRS-TGA3-1,Q201448,transfer RNA
Q18064470,TRD-GTC8-1,Q201448,transfer RNA
Q18064471,TRS-AGA5-1,Q201448,transfer RNA
Q18064472,TRT-AGT3-1,Q201448,transfer RNA
Q18064474,TRA-AGC22-1,Q201448,transfer RNA
Q18064475,TRC-GCA14-1,Q201448,transfer RNA
Q18064476,TRW-CCA3-1,Q201448,transfer RNA
Q18064477,TRY-GTA5-1,Q201448,transfer RNA
Q18064478,TRT-AGT5-1,Q201448,transfer RNA
Q18064561,TRN-GTT10-1,Q201448,transfer RNA
Q18064566,TRQ-CTG14-1,Q201448,transfer RNA
Q18064584,TRV-CAC1-4,Q201448,transfer RNA
Q18072265,TRV-CAC10-1,Q201448,transfer RNA
Q18072369,TRN-GTT21-1,Q201448,transfer RNA
Q18074075,TRN-GTT5-1,Q201448,transfer RNA
Q18081079,TRG-CCC1-1,Q201448,transfer RNA
Q18081081,TRE-TTC4-1,Q201448,transfer RNA
Q18081086,TRC-GCA7-1,Q201448,transfer RNA
Q18081089,TRN-GTT18-1,Q201448,transfer RNA
Q18081091,TRV-CAC11-1,Q201448,transfer RNA
Q18081093,TRL-CAA1-1,Q201448,transfer RNA
Q18081161,TRG-CCC8-1,Q201448,transfer RNA
Q18081163,TRN-ATT1-2,Q201448,transfer RNA
Q18252431,TrnA,Q201448,transfer RNA
Q18252432,TrnC,Q201448,transfer RNA
Q18252433,TrnD,Q201448,transfer RNA
Q18252434,TrnE,Q201448,transfer RNA
Q18252435,TrnF,Q201448,transfer RNA
Q18252436,TrnG,Q201448,transfer RNA
Q18252437,TrnH,Q201448,transfer RNA
Q18252438,TrnI,Q201448,transfer RNA
Q18252439,TrnK,Q201448,transfer RNA
Q18252440,TrnL1,Q201448,transfer RNA
Q18252441,TrnL2,Q201448,transfer RNA
